"region_code","region_name","latitude","longitude","division","country","date","period","population","revenue","volume","customers","channelCosts","margin","revenueVsPotential","ownStores","indirectStores","EEStores","o2Stores","salesVsPotential","VFcustomerShare","digitalPropensity","acqMarketShare","networkSpeed","networkLatency","channelRevenueOnline","channelRevenueOnlinefixed","channelRevenueOnlinepostpayAcq","channelRevenueOnlinepostpayRenewal","channelRevenueOnlineprepay","channelRevenueTelesales","channelRevenueTelesalesfixed","channelRevenueTelesalespostpayAcq","channelRevenueTelesalespostpayRenewal","channelRevenueTelesalesprepay","channelRevenueRetail","channelRevenueRetailfixed","channelRevenueRetailpostpayAcq","channelRevenueRetailpostpayRenewal","channelRevenueRetailprepay","channelRevenueIndirect","channelRevenueIndirectfixed","channelRevenueIndirectpostpayAcq","channelRevenueIndirectpostpayRenewal","channelRevenueIndirectprepay","channelVolumeOnline","channelVolumeOnlinefixed","channelVolumeOnlinepostpayAcq","channelVolumeOnlinepostpayRenewal","channelVolumeOnlineprepay","channelVolumeTelesales","channelVolumeTelesalesfixed","channelVolumeTelesalespostpayAcq","channelVolumeTelesalespostpayRenewal","channelVolumeTelesalesprepay","channelVolumeRetail","channelVolumeRetailfixed","channelVolumeRetailpostpayAcq","channelVolumeRetailpostpayRenewal","channelVolumeRetailprepay","channelVolumeIndirect","channelVolumeIndirectfixed","channelVolumeIndirectpostpayAcq","channelVolumeIndirectpostpayRenewal","channelVolumeIndirectprepay"
3,"Midlands",52.435044,-1.892271,"North","United Kingdom","2018-01-31","month",3986833,5220285,1084,2693029,925943,44871,-0.156,22,15,36,25,-0.0921,0.0134,0.221,0.349,4.52,67.9,115466,46184,14611,16080,13796,118515,29462,15428,19234,17291,161451,51689,35081,19831,18505,139570,18627,38415,27364,20571,129192,37068,14992,18449,15067,162563,53742,42260,21417,16909,125205,19624,27866,19138,12913,106112,19818,19754,10708,11145
7,"NI Glasgow",55.860011,-4.253951,"North","United Kingdom","2018-01-31","month",3178936,5127318,1138,2893382,989247,49356,-0.0875,19,13,27,21,-0.161,0.422,0.0789,0.18,4.94,60.1,93953,12366,16771,13066,13687,133979,37461,29849,24608,19927,125539,16710,20004,23975,13706,130520,41665,24026,19406,18158,126473,50277,27603,18665,14592,161239,29827,17702,29083,19632,74621,27723,18978,7768,9424,70504,22734,18831,13910,10455
10,"North East",54.683629,-1.21324,"North","United Kingdom","2018-01-31","month",3420913,5800510,1180,3928512,840815,37957,0.00575,20,10,40,23,-0.107,0.104,0.0664,-0.0322,2.61,79.7,131424,19053,30743,22831,18767,64150,9625,9951,10724,6894,87586,10904,23165,11669,9709,142434,43496,21347,23611,18487,137304,43242,20109,23990,14406,67223,23295,8674,11872,7178,124638,44439,14752,16777,16512,100985,10191,13432,12394,14104
0,"North West",53.027538,-2.175821,"North","United Kingdom","2018-01-31","month",3456438,3785404,1056,3874385,933791,43818,-0.138,22,8,32,38,-0.143,0.471,-0.171,0.0535,0.839,43.2,162551,39786,42966,25422,16628,79878,14197,13285,11572,11781,126594,31348,34248,13864,15113,141410,25037,27420,25066,15573,123232,25345,19210,16754,17492,114922,41163,14034,17318,14787,93969,18319,13719,10928,9794,87078,24218,13700,12504,10274
8,"Scotland North",56.45974,-2.973105,"North","United Kingdom","2018-01-31","month",3197312,4238196,1096,3036355,900838,33663,-0.0255,19,14,28,28,-0.051,0.0608,0.0657,0.412,0.83,69.2,104916,19189,21032,14795,14925,77476,14451,17573,14135,9272,122108,31730,35666,18451,16498,120524,39481,19051,14285,14284,157592,22045,32848,27563,17318,74536,12980,8250,8166,10390,149077,15188,37959,15982,17923,65379,24481,9990,11235,6559
14,"South Coast",50.851834,-0.983612,"South","United Kingdom","2018-01-31","month",2990229,5831344,1204,3988747,821563,39479,0.0609,21,9,26,40,0.00625,0.213,-0.112,0.376,1.73,80.8,141589,17819,16863,14989,15673,112494,21733,19441,17627,15511,68755,8999,11432,7670,7548,65827,18589,14909,12505,7850,164304,21415,36402,28182,23171,93403,21520,19756,15960,13802,125801,13326,33603,18021,12931,136022,32783,35550,14128,20041
13,"South East",51.134193,0.264491,"South","United Kingdom","2018-01-31","month",2971674,4249465,1232,2690097,757475,33629,0.0229,22,12,37,34,0.134,0.335,0.142,-0.0458,2.49,52,115323,38258,21424,22427,12635,106126,24441,11534,15591,15408,141010,43919,17385,16422,20418,92066,34098,11006,13916,13488,71004,14672,17917,11300,9529,109255,18102,28247,15584,15648,153177,54259,33776,24513,17643,133267,28397,26048,22858,14425
11,"South Wales",51.652933,-3.021441,"South","United Kingdom","2018-01-31","month",3851296,4353115,1077,2516175,816479,40290,0.157,18,12,27,37,-0.0356,0.133,-0.0588,0.266,2.55,75.8,116375,14753,32901,16205,15743,132525,19212,20261,21493,17293,83610,23147,19006,9600,9774,153643,34996,20079,15389,20371,81046,15050,12569,10629,10543,103201,33779,14196,13934,10973,101866,32522,27647,19357,12919,130123,50366,35244,25944,16083
12,"South West",50.371714,-4.140162,"South","United Kingdom","2018-01-31","month",3636026,6022702,1071,2516547,849309,43442,0.0412,20,10,40,35,0.046,0.299,0.164,0.0431,2.44,44,154655,56478,43767,15597,22966,88996,34167,13551,10427,10424,78358,25639,13613,11357,11286,83854,27922,11260,9231,8527,140513,31806,35727,24492,15523,157802,17341,23028,17581,19550,140479,30428,41415,22839,14604,76133,18224,10888,12829,8381
1,"South Yorks",53.550871,-1.478309,"South","United Kingdom","2018-01-31","month",2613969,5416195,1145,3518470,866830,37666,-0.112,23,12,33,26,-0.115,0.258,-0.0538,0.0608,1.88,86.3,121837,30223,33847,16411,15978,157986,24367,17612,17844,19292,77979,26932,16311,11461,9988,156522,62370,39255,27338,21259,89610,27663,17807,12905,9185,133808,14860,38365,21547,17250,95664,24267,26850,18801,12125,90004,11387,15053,15543,13162
9,"East Anglia",52.399452,0.264206,"South","United Kingdom","2018-02-28","month",2848828,5654755,1119,3885925,780806,37221,0.109,22,10,44,19,-0.0749,0.343,0.139,-0.0398,4.09,66.1,106349,16761,24818,12761,10735,74890,14734,15328,8341,10416,137936,26122,18746,19385,14877,148037,51643,31234,19921,20583,149170,29833,24685,27583,15604,78865,14861,14122,8491,10682,107483,29237,27336,12830,12129,89161,34442,26617,17284,10452
5,"East Midlands",52.522979,-1.467778,"North","United Kingdom","2018-02-28","month",2976064,5524913,1116,3270355,852758,48739,-0.15,18,10,39,37,-0.17,0.282,0.163,0.0699,0.783,88.7,105255,12448,23743,20152,12102,82293,30359,18082,12816,10985,160876,22710,30143,18797,18885,106879,11085,18338,11794,12535,65919,20256,7938,9079,7914,156353,49878,20305,17829,18292,125094,48158,32603,21387,16799,73612,27018,21046,12384,8417
15,"Essex and Herts",51.963206,1.351792,"South","United Kingdom","2018-02-28","month",3202641,4307473,1144,3059346,934314,38071,0.048,21,9,43,37,0.0968,0.477,-0.0995,0.132,2.77,79.9,135478,20205,26558,18925,17791,136653,41848,33944,19984,16936,115742,12596,19504,22562,11994,80671,12181,9598,16079,10109,98490,13443,23989,13678,12710,98869,27275,14841,10312,12355,150314,53041,21095,25791,19932,151983,15281,43629,16089,21894
18,"Home Counties",51.352162,-1.993762,"South","United Kingdom","2018-02-28","month",3780644,5408139,1104,3303071,765902,35565,0.00123,21,13,25,21,0.17,0.146,0.244,0.43,4.04,98,109423,35296,20858,16245,12425,80372,32012,22478,10466,11788,162260,57957,30236,22740,21283,119292,46007,21725,13826,17210,157350,50210,44075,29550,20928,68210,23206,10700,7536,9862,123261,17102,32601,18502,13080,84964,33639,14574,12821,9100
4,"Lancs Cumbria Pennines",53.789622,-2.243294,"North","United Kingdom","2018-02-28","month",3697293,4110313,1156,3277640,963517,48834,0.158,21,14,31,28,-0.0224,0.4,0.212,0.319,1.67,43.7,64132,15963,8286,11970,9376,85416,28310,11372,12382,8585,123017,47183,19637,13380,18433,139596,45639,29358,23262,14510,163913,24334,22868,17280,19590,108849,28035,19459,11205,15832,64903,21435,19359,9806,9151,122527,13195,23385,14910,13222
6,"London East",51.537937,0.080932,"South","United Kingdom","2018-02-28","month",2655753,5278462,1047,2565450,996017,35963,-0.013,19,15,27,26,0.134,0.375,0.106,0.289,2.43,88,134169,34547,36599,16567,16580,62545,22100,11412,9111,6958,123496,23088,31529,14209,15220,139622,18624,39005,19569,19890,93641,11548,16984,13297,10036,151332,35909,30729,17275,19206,159816,32840,41504,20278,21324,102478,38061,16429,18185,15244
17,"London North",51.655197,-0.277485,"South","United Kingdom","2018-02-28","month",3859569,4055034,1243,3893361,986224,42425,-0.0282,21,15,27,39,-0.128,0.0902,-0.165,0.356,1.75,76.1,165020,17274,45160,31383,16860,88464,10709,26352,8908,11896,68307,26527,8003,9145,8420,96445,9821,11397,14870,11661,165573,30140,26441,22800,19798,127827,45847,30410,22965,16393,69885,7746,17253,8451,7576,124737,45263,21775,12607,17811
16,"London South",51.486872,-0.095581,"South","United Kingdom","2018-02-28","month",2896671,4170418,1228,3248196,803199,41833,0.0274,18,11,43,31,-0.181,0.28,0.0455,0.229,3.26,84.1,94356,35195,18081,17772,10734,98835,12889,14208,13489,13294,93142,21886,19535,15901,9712,112696,25939,22234,18702,13410,149020,26841,35889,27432,18276,140860,52124,38015,16612,14191,144094,18091,38981,26428,15367,67210,14043,19769,11857,9180
19,"London West",51.509384,-0.195825,"South","United Kingdom","2018-02-28","month",3687640,5733303,1045,3969743,1015072,43446,-0.113,19,10,28,16,0.121,0.372,0.0336,-0.0272,0.347,58.4,141067,53621,17527,26876,19830,73082,11211,14248,9053,9942,150643,33907,43109,17089,22176,98929,25150,20466,11353,13811,131190,24322,37927,26090,17585,162230,40746,18316,24899,21099,145344,50080,29161,19753,15439,124386,41522,15491,23314,14606
2,"Manchester",53.386478,-2.351433,"North","United Kingdom","2018-02-28","month",2848730,3956006,1065,3607496,1002376,45825,-0.0652,22,11,40,23,0.113,0.332,0.134,0.442,3.96,44,144039,45802,24660,20105,16821,118848,18175,30682,23561,16306,130756,21611,14452,16007,16604,164694,52297,47544,25198,17852,143224,44015,34689,18557,17212,68172,26490,16798,11322,8667,72483,8362,19242,14468,10267,156492,26678,45873,24167,16382
3,"Midlands",52.435044,-1.892271,"North","United Kingdom","2018-02-28","month",2600433,6056203,1042,2616943,758974,43323,0.12,18,11,32,35,-0.0898,0.0181,0.255,0.468,4.08,56,118495,37346,12670,18755,17628,110114,38700,18744,19120,15164,121995,32790,15176,18235,13024,97810,27925,19184,11484,13116,70345,10192,13209,11271,8662,94150,19906,12378,15734,13489,141020,25586,17382,21834,20057,79167,20568,19723,9990,11325
7,"NI Glasgow",55.860011,-4.253951,"North","United Kingdom","2018-02-28","month",3448743,5790263,1247,3972481,928053,46318,0.0669,23,12,29,36,0.104,0.488,0.272,0.0285,2.51,80.9,68375,18874,16672,7454,8272,126882,45132,34426,14702,16803,98741,21962,15850,11597,10603,123613,31323,27995,16229,17709,124153,26777,30139,18210,12820,80776,13962,20579,15773,8256,105163,33846,13932,16805,10772,157250,54317,38163,22197,23087
10,"North East",54.683629,-1.21324,"North","United Kingdom","2018-02-28","month",3352392,4492841,1153,2845181,786105,34374,0.114,22,10,42,29,0.0563,0.104,0.232,0.343,5,98.3,140534,18068,15030,20424,14453,128272,30334,19463,19907,15024,160230,29613,34543,21130,16357,107519,25023,28821,18195,10806,70688,25003,19507,11334,7583,88127,29842,18366,15688,9093,161346,20971,18629,30649,16599,100632,24251,20150,10200,12139
0,"North West",53.027538,-2.175821,"North","United Kingdom","2018-02-28","month",2634368,4299915,1162,2560482,764707,37088,0.113,19,9,38,22,0.113,0.0756,-0.123,0.364,4.62,53,123294,31923,14993,22115,15411,110585,16074,18210,12620,15956,77040,9128,17955,13905,8931,63861,15549,17254,7985,7763,107387,29987,17697,10948,12583,148689,20292,37834,28867,21833,129987,30920,15183,23480,13486,111559,26446,30432,12390,11456
8,"Scotland North",56.45974,-2.973105,"North","United Kingdom","2018-02-28","month",2860161,4962316,1082,3435942,813516,44953,-0.00654,21,15,35,23,0.0165,0.463,0.282,0.423,3.31,97.5,147786,52104,18191,18807,15530,161414,33959,40123,16948,20080,86466,23601,9129,14500,9008,114333,27325,30661,16841,12047,126175,34275,32086,19945,16529,129465,29343,14995,19523,14091,67561,10289,14395,13380,9510,142844,33955,19745,16661,18982
14,"South Coast",50.851834,-0.983612,"South","United Kingdom","2018-02-28","month",3977330,5596709,1243,3273215,888967,37436,0.125,19,11,34,25,-0.17,0.495,0.199,0.382,4.24,55.2,144177,42199,28015,21730,15365,101202,37297,21012,13422,13506,121784,39228,33417,20752,14881,156148,26420,31537,25588,22170,136333,17984,19651,26411,17643,124227,22297,32086,21446,15192,120593,14170,12836,17595,14895,124535,46741,21117,24320,16796
13,"South East",51.134193,0.264491,"South","United Kingdom","2018-02-28","month",3651768,5441718,1207,3226482,880532,39543,-0.134,21,12,34,18,0.0979,0.359,-0.119,0.168,4.12,63.8,79380,19319,12094,12160,10342,148545,22707,27373,22112,18904,123533,35840,36776,13160,13200,132428,47312,24153,18637,13834,64919,16462,13875,12119,9079,141681,25872,20727,15012,15929,127445,20884,22975,23026,18146,162181,37031,26402,27583,16304
11,"South Wales",51.652933,-3.021441,"South","United Kingdom","2018-02-28","month",2911286,5032439,1161,3041818,884525,35426,-0.08,22,11,35,40,0.134,0.183,-0.163,0.288,0.703,82.7,125240,42077,13375,13059,15908,101570,25139,29070,19526,14372,121239,47836,12744,19672,14441,64460,18130,16281,8113,8442,110113,38102,20252,18550,14583,127976,50851,37704,24799,14861,76291,14204,15861,14843,10710,102027,19470,27018,10672,11793
12,"South West",50.371714,-4.140162,"South","United Kingdom","2018-02-28","month",3414789,3798006,1118,2998080,1007442,49377,0.025,19,11,35,30,0.00679,0.332,0.161,0.145,0.3,66.4,141185,22018,26945,26517,16439,131936,23698,37907,13756,16012,68562,21377,9604,12972,9926,144172,49683,40654,15604,17251,128338,31653,35254,17959,14205,65433,9408,9976,7618,8941,70837,7519,19628,10026,8466,76618,14669,13666,8705,9876
1,"South Yorks",53.550871,-1.478309,"South","United Kingdom","2018-02-28","month",2572936,6042895,1169,3216519,875520,40640,-0.0513,20,11,29,21,-0.0559,0.455,0.023,0.211,2.55,65.1,68925,14207,19672,10168,7252,161973,33665,39091,22034,19357,141738,35830,24080,18124,17427,108695,25877,14693,11091,13997,83121,27009,15463,8561,12119,87849,14039,21823,14858,10071,101019,11018,19801,16160,13037,143272,25443,25576,27482,15044
9,"East Anglia",52.399452,0.264206,"South","United Kingdom","2018-03-31","month",3207728,3836427,1247,3334818,763201,35642,0.142,18,13,36,26,0.0417,0.176,-0.098,0.0411,4.33,66.1,132569,29007,37130,13649,19214,132737,38822,31357,21102,17652,156484,59562,28116,18268,20560,64480,9438,7878,12669,6507,76650,13388,15270,11825,8246,120155,36110,16258,12472,12121,154209,54214,17771,23933,16451,63153,21469,6589,9673,6895
5,"East Midlands",52.522979,-1.467778,"North","United Kingdom","2018-03-31","month",3093821,4663227,1129,3360290,821173,46580,0.104,22,10,31,18,0.0177,0.371,0.274,0.118,0.791,43.8,82827,29799,12171,13993,10909,115522,29478,15709,18188,11776,70481,7196,13651,10707,9412,92087,18916,19627,11725,11765,79402,27370,15425,10707,9409,92908,28972,26683,14975,9757,69328,17540,8200,11452,7552,98748,37946,26771,16625,11794
15,"Essex and Herts",51.963206,1.351792,"South","United Kingdom","2018-03-31","month",3013657,4155881,1125,2742447,1039111,41802,0.163,18,11,26,37,-0.151,0.266,0.284,0.307,1.71,51.7,154482,56368,35367,17954,18631,111466,32090,32704,16992,15239,114055,19616,30891,18361,13068,131968,49793,33411,20524,17362,111973,35555,27227,22354,12600,112363,43174,19787,20188,14211,144705,33689,41960,16348,15291,104216,18442,27343,13346,13840
18,"Home Counties",51.352162,-1.993762,"South","United Kingdom","2018-03-31","month",3060560,4506112,1132,3755026,894543,43849,0.0288,19,15,29,34,-0.00221,0.145,0.0341,0.179,0.515,49,141078,38046,21162,24258,18266,155361,22895,20225,20808,21439,118342,34141,21024,22687,14885,103461,18772,15607,17913,10993,73695,8582,14096,8587,10777,71961,15328,21237,10476,10508,107491,35574,28416,14401,14494,134107,32147,26639,25177,18684
4,"Lancs Cumbria Pennines",53.789622,-2.243294,"North","United Kingdom","2018-03-31","month",2510686,5706189,1122,3671340,955078,41603,0.145,22,14,37,27,-0.00404,0.384,-0.14,0.341,0.156,48.7,119815,46998,35813,22039,14843,162548,38011,33229,18937,16709,139548,17315,20698,23032,15606,137592,41393,37252,24959,19810,95180,33524,21714,17169,13065,123282,40826,14630,13157,15172,127355,15986,21156,20281,15499,123482,26795,30596,12509,16384
6,"London East",51.537937,0.080932,"South","United Kingdom","2018-03-31","month",3458419,5946844,1203,3885606,758156,34877,-0.0594,19,14,37,36,-0.00207,0.451,0.268,0.156,1,66.8,88268,13785,15799,14996,11338,164328,35391,33647,32163,19066,119336,20353,27962,13430,16926,134977,16841,32065,26427,14513,151881,33919,32965,15987,15558,137199,39784,27109,15498,13907,132756,52827,19788,15255,18598,80082,14923,8748,10590,10135
17,"London North",51.655197,-0.277485,"South","United Kingdom","2018-03-31","month",2618653,5733364,1184,2887185,1013829,39776,0.0784,22,10,36,24,0.131,0.386,0.226,0.0986,1.6,72.9,98775,19247,27361,11557,9934,137683,54723,21779,27021,18296,143070,47196,16000,24653,15057,147298,38838,36572,25426,17256,146973,16589,35262,18431,20751,109462,42397,19159,11767,13455,97073,19842,22049,15212,12378,108626,41731,15924,11967,11256
16,"London South",51.486872,-0.095581,"South","United Kingdom","2018-03-31","month",2709376,3851916,1221,3923082,879643,47885,-0.00208,19,12,30,29,-0.088,0.402,0.0265,0.11,3.42,72.4,111375,31267,12762,20867,11561,92555,11439,18443,11560,12865,119142,29964,23491,22365,15016,147850,25103,25967,20044,19115,129264,31333,14185,16168,18475,89206,13516,13566,10234,12851,119254,37099,30386,22306,16482,99678,37523,13507,14755,12586
19,"London West",51.509384,-0.195825,"South","United Kingdom","2018-03-31","month",2539600,4496543,1130,2739003,814757,40996,-0.129,22,8,29,21,-0.0348,0.469,0.0604,0.44,2.14,67.2,121929,40735,26034,17775,15769,102599,26272,15676,16516,14246,151583,32402,38638,25532,21682,134911,41237,27402,21436,17080,165017,28098,22742,27754,23893,162939,53066,26211,26430,21102,138471,36114,30187,16663,16934,129590,15600,30391,16983,18056
2,"Manchester",53.386478,-2.351433,"North","United Kingdom","2018-03-31","month",3966895,3781766,1161,3974999,904109,42193,-0.182,20,12,36,22,0.0827,0.083,-0.133,0.226,4.42,67.1,116002,33798,22367,12703,14059,94282,34903,28159,16472,9636,68298,25688,7942,8094,7579,96422,35368,17928,15661,12213,125786,24857,32796,23345,16858,96509,35967,16592,9893,10074,72122,22898,13375,11215,8084,87467,14137,25399,16780,9822
3,"Midlands",52.435044,-1.892271,"North","United Kingdom","2018-03-31","month",2668331,5345265,1236,2619798,885696,33962,-0.194,18,11,35,19,0.0836,0.324,0.0339,0.233,0.894,75,89419,12686,9362,15823,12450,95121,16620,11878,16072,12912,72122,26489,21308,7773,10377,107781,26001,18581,15709,13819,157221,19104,23541,28021,20838,145059,36592,17551,17543,16229,161251,42009,25493,32087,23314,151897,22470,27795,22206,17199
7,"NI Glasgow",55.860011,-4.253951,"North","United Kingdom","2018-03-31","month",2874789,5628344,1224,2615197,992303,42720,-0.0171,22,10,37,29,-0.0163,0.127,0.278,0.499,2.88,60,87777,10404,16764,16958,11384,103838,16467,21164,10463,10539,73344,8888,18477,14541,9716,63925,23067,13273,9476,6406,127125,40774,34795,16087,14246,135865,20718,17849,17957,20112,154749,44518,25932,23499,20011,128866,39793,32966,16426,13439
10,"North East",54.683629,-1.21324,"North","United Kingdom","2018-03-31","month",2827981,4277478,1116,3432590,822608,46092,0.0382,22,12,36,17,-0.0671,0.324,0.206,0.0562,4.17,45.1,107460,16560,25440,12708,14054,106503,10683,19387,11488,15409,97857,19851,23891,18009,11793,163199,63989,31583,22233,20466,114941,28418,14523,12441,12201,93558,21734,14949,12905,10223,113693,25894,27340,17557,14941,113412,27699,13891,15231,12487
0,"North West",53.027538,-2.175821,"North","United Kingdom","2018-03-31","month",3290100,6066718,1205,3623203,824260,47738,-0.0381,21,15,36,32,0.117,0.0224,0.159,0.365,3.21,54.7,116792,32635,17640,19653,17383,75242,25517,21434,8182,7642,92336,10938,19489,16775,12814,155216,61360,31971,23087,19027,129443,37799,21336,13163,14201,87744,22607,23660,15925,9060,88013,27350,16037,9109,9931,165717,22926,30007,21795,23359
8,"Scotland North",56.45974,-2.973105,"North","United Kingdom","2018-03-31","month",3949645,4090426,1043,3508099,880401,39782,-0.0165,19,11,26,23,0.00174,0.37,0.0827,0.409,0.745,87,158075,46877,37694,18112,17033,74857,27221,7672,14001,8328,73289,11093,12884,9168,8255,105470,39647,29337,16879,14938,126356,22285,33594,22264,13882,157813,21236,24621,21920,16464,146337,27684,19673,16965,21351,139851,15888,37567,20330,14587
14,"South Coast",50.851834,-0.983612,"South","United Kingdom","2018-03-31","month",2574949,6240951,1150,3605556,767643,45150,-0.156,19,11,36,39,-0.181,0.429,-0.0439,-0.0119,3.86,96.9,162003,48753,22357,21262,17756,150943,54742,32920,15308,20342,111905,18847,32534,22141,15214,104455,17266,23927,11747,14406,121830,38361,22000,19373,16093,98686,16810,19788,12241,14609,139839,50861,23218,17449,16011,110727,13460,24611,15063,15641
13,"South East",51.134193,0.264491,"South","United Kingdom","2018-03-31","month",2914773,4458275,1119,2917678,819291,38244,0.081,18,13,32,40,0.131,0.255,0.22,0.493,4.2,43.9,110176,33085,19250,20536,12868,124871,21007,37106,23311,12741,150974,19927,30168,20051,16188,82468,15287,16027,10487,12253,121257,32570,14826,19046,13952,107425,36406,23316,16881,12587,136633,40338,15383,18655,18309,121848,17581,29757,23445,14578
